,Title,ID,Vote_Avg,Vote_Count,Popularity,release_year,Director,Gender,Revenue,Budget
370,Rio,46195,6.5,2928,11.654,2011,Carlos Saldanha,male,484635760,90000000
371,Battle: Los Angeles,44943,5.6,1766,11.654,2011,Jonathan Liebesman,male,202466756,70000000
372,Shark Tale,10555,5.9,2512,11.653,2004,Bibo Bergeron,male,367275019,75000000
373,The Italian Job,9654,6.7,2497,11.643,2003,F. Gary Gray,,176070171,60000000
374,Boyhood,85350,7.5,2568,11.641,2014,Richard Linklater,male,44349000,4000000
375,Playing It Cool,277547,5.8,343,11.636,2014,Justin Reardon,male,0,0
376,Avengers Grimm: Time Wars,521720,4.5,6,11.632,2018,Maximilian Elfeldt,male,0,0
377,Ratchet & Clank,234004,5.4,251,11.629,2016,Jericca Cleland,,8821329,20000000
378,Godzilla,929,5.4,1484,11.628,1998,Roland Emmerich,male,379014294,130000000
379,Cube 2: Hypercube,437,5.5,529,11.628,2002,Andrzej Sekula,male,0,0
380,Batman,268,7.1,2992,11.626,1989,Tim Burton,male,411348924,35000000
381,Fun with Dick and Jane,7552,5.9,896,11.626,2005,Dean Parisot,male,202026112,100000000
382,Hot Summer Nights,347866,6.0,13,11.624,2018,Elijah Bynum,male,0,0
383,Tropic Thunder,7446,6.5,2350,11.621,2008,Ben Stiller,male,188072649,92000000
384,Eraser,9268,5.8,723,11.619,1996,Chuck Russell,male,242295562,100000000
385,The Circle,339988,5.5,1973,11.616,2017,James Ponsoldt,male,20497844,18000000
386,Life of Crime,209189,5.6,177,11.615,2013,Daniel Schechter,male,265452,12000000
387,Batman: Gotham by Gaslight,471474,6.6,159,11.614,2018,Sam Liu,male,0,10000000
388,Tooth Fairy,23023,5.2,747,11.599,2010,Michael Lembeck,male,112462508,48000000
389,Stop! Or My Mom Will Shoot,9876,4.8,308,11.599,1992,Roger Spottiswoode,male,70611210,0
390,Fried Green Tomatoes,1633,7.7,438,11.586,1991,Jon Avnet,male,119418501,11000000
391,Over the Hedge,7518,6.3,1700,11.584,2006,Tim Johnson,male,343397247,80000000
392,Eyes Wide Shut,345,7.2,1948,11.581,1999,Stanley Kubrick,male,162091208,65000000
393,Happy Gilmore,9614,6.6,1020,11.57,1996,Dennis Dugan,male,0,10000000
394,The Mask of Zorro,9342,6.3,1702,11.565,1998,Martin Campbell,male,250288523,95000000
395,The Big Boss,12481,7.4,210,11.561,1971,Lo Wei,female,0,100000
396,Daddy's Home,274167,6.0,1335,11.56,2015,Sean Anders,male,242786137,50000000
397,Three Steps Above Heaven,61979,7.4,733,11.558,2010,Fernando González Molina,male,0,0
398,The Mummy: Tomb of the Dragon Emperor,1735,5.2,1956,11.556,2008,Rob Cohen,male,401128639,145000000
399,American Pie Presents: Beta House,8277,5.4,716,11.556,2007,Andrew Waller,male,0,0
400,Home,228161,6.8,1922,11.556,2015,Tim Johnson,male,368871007,135000000
401,The Usual Suspects,629,8.2,4527,11.555,1995,Bryan Singer,male,23341568,6000000
402,Hero,79,7.5,868,11.554,2002,Zhang Yimou,,177394432,31000000
403,iBoy,414190,6.1,524,11.55,2017,Adam Randall,male,0,1500000
404,Blade of the Immortal,426284,6.5,131,11.546,2017,Takashi Miike,male,150532,0
405,Dumbo,11360,6.8,1834,11.542,1941,Ben Sharpsteen,male,1600000,812000
406,Immoral Tales,46581,5.6,48,11.537,1973,Walerian Borowczyk,,0,0
407,Tremors: A Cold Day in Hell,496704,5.3,52,11.528,2018,Don Michael Paul,male,0,0
408,Rear Window,567,8.3,2214,11.521,1954,Alfred Hitchcock,male,36764313,1000000
409,Hide and Seek,11096,6.2,630,11.518,2005,John Polson,male,122644820,25000000
410,A Single Man,34653,7.4,670,11.516,2009,Tom Ford,male,24964890,7000000
411,The Cutting Edge: Fire & Ice,40080,5.9,46,11.516,2010,Stephen Herek,male,0,0
412,Silence,68730,7.1,1170,11.516,2016,Martin Scorsese,male,23737523,46000000
413,The Conjuring 2,259693,7.1,2887,11.515,2016,James Wan,male,320170008,40000000
414,Concussion,321741,7.0,1152,11.506,2015,Peter Landesman,male,50363790,35000000
415,Arthur and the Revenge of Maltazard,26505,5.5,624,11.505,2009,Luc Besson,male,0,87000000
416,Step Up 2: The Streets,8328,6.5,973,11.5,2008,Jon M. Chu,male,150816700,23000000
417,The Godfather: Part III,242,7.3,2256,11.492,1990,Francis Ford Coppola,male,136766062,54000000
418,The Immigrant,152599,6.2,349,11.49,2013,James Gray,male,5867686,16000000
419,The Texas Chainsaw Massacre,9373,6.1,953,11.483,2003,Marcus Nispel,male,107071655,9500000
420,Cars 2,49013,5.9,3051,11.478,2011,John Lasseter,male,559852396,200000000
421,Home Alone 4,12536,4.1,381,11.473,2002,Rod Daniel,male,0,0
422,Stonehearst Asylum,207933,6.7,536,11.473,2014,Brad Anderson,male,0,0
423,The Lion King 1½,11430,6.4,1116,11.472,2004,Bradley Raymond,male,0,0
424,True Grit,44264,7.2,2206,11.468,2010,Ethan Coen,male,252276927,38000000
425,Dallas Buyers Club,152532,7.9,3944,11.467,2013,Jean-Marc Vallée,male,55198285,5000000
426,Beverly Hills Cop,90,6.9,1323,11.465,1984,Martin Brest,male,316360478,15000000
427,The Girl on the Train,346685,6.3,2679,11.463,2016,Tate Taylor,male,173185859,45000000
428,Groundhog Day,137,7.5,3173,11.454,1993,Harold Ramis,male,70906973,14600000
429,Puzzle,492998,0.0,1,11.449,2018,Marc Turtletaub,male,0,0
